Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,5.120000,5.130000,5.080000,5.100000,5.029028,12966900
2019-06-13,5.100000,5.100000,5.040000,5.080000,5.009306,13706800
2019-06-14,4.980000,5.000000,4.950000,4.950000,4.881115,17647500
2019-06-17,4.990000,5.020000,4.960000,4.970000,4.900837,12548800
2019-06-18,5.040000,5.060000,4.990000,5.010000,4.940281,15336500
2019-06-19,5.060000,5.070000,5.010000,5.040000,4.969863,12689700
2019-06-20,5.130000,5.190000,5.110000,5.170000,5.098054,17136700
2019-06-21,5.130000,5.180000,5.120000,5.160000,5.088193,12868200
2019-06-24,5.090000,5.100000,5.040000,5.040000,4.969863,19801400
2019-06-25,5.010000,5.080000,4.990000,4.990000,4.920559,23153800
2019-06-26,5.050000,5.070000,5.010000,5.020000,4.950141,14289100
2019-06-27,5.010000,5.020000,4.930000,4.970000,4.900837,30968300
2019-06-28,5.010000,5.030000,4.990000,5.010000,4.940281,14905700
2019-07-01,5.040000,5.040000,5.000000,5.030000,4.960003,15230800
2019-07-02,5.050000,5.070000,5.030000,5.060000,4.989585,13201400
2019-07-03,5.100000,5.120000,5.090000,5.120000,5.048750,7821400
2019-07-05,5.090000,5.090000,5.020000,5.060000,4.989585,8113800
2019-07-08,5.020000,5.060000,5.010000,5.040000,4.969863,9045700
2019-07-09,5.010000,5.050000,4.980000,5.030000,4.960003,16437900
2019-07-10,5.060000,5.080000,5.040000,5.060000,4.989585,11442100
2019-07-11,5.080000,5.100000,5.050000,5.060000,4.989585,22504100
2019-07-12,5.090000,5.100000,5.060000,5.100000,5.029028,20398400
2019-07-15,5.110000,5.120000,5.070000,5.100000,5.029028,18689300
2019-07-16,5.150000,5.210000,5.110000,5.120000,5.048750,19077000
2019-07-17,5.110000,5.200000,5.100000,5.160000,5.088193,41825300
2019-07-18,5.160000,5.180000,5.100000,5.140000,5.068471,26896100
2019-07-19,5.160000,5.200000,5.130000,5.140000,5.068471,28212400
2019-07-22,5.170000,5.180000,5.110000,5.120000,5.048750,27722600
2019-07-23,5.170000,5.180000,5.130000,5.170000,5.098054,14465400
2019-07-24,5.200000,5.220000,5.130000,5.180000,5.107915,18065500
2019-07-25,5.550000,5.770000,5.510000,5.700000,5.620678,92429500
2019-07-26,5.690000,5.740000,5.630000,5.720000,5.640400,38025600
2019-07-29,5.660000,5.690000,5.610000,5.650000,5.626459,19818500
2019-07-30,5.550000,5.570000,5.450000,5.470000,5.447208,40569100
2019-07-31,5.470000,5.500000,5.370000,5.410000,5.387458,17820400
2019-08-01,5.430000,5.500000,5.350000,5.370000,5.347625,22983200
2019-08-02,5.400000,5.420000,5.330000,5.400000,5.377500,17603800
2019-08-05,5.330000,5.350000,5.250000,5.290000,5.267958,18350900
2019-08-06,5.360000,5.380000,5.320000,5.350000,5.327708,19943200
2019-08-07,5.260000,5.330000,5.230000,5.320000,5.297833,26352300
2019-08-08,5.380000,5.420000,5.380000,5.400000,5.377500,13819000
2019-08-09,5.400000,5.450000,5.360000,5.410000,5.387458,22235300
2019-08-12,5.380000,5.380000,5.290000,5.310000,5.287875,12434600
2019-08-13,5.260000,5.390000,5.250000,5.330000,5.307792,20177900
2019-08-14,5.220000,5.220000,5.110000,5.120000,5.098667,25831900
2019-08-15,5.070000,5.100000,5.030000,5.060000,5.038917,18896300
2019-08-16,5.130000,5.170000,5.100000,5.170000,5.148458,11737100
2019-08-19,5.250000,5.250000,5.210000,5.230000,5.208209,8695600
2019-08-20,5.170000,5.190000,5.140000,5.150000,5.128542,10448200
2019-08-21,5.200000,5.210000,5.160000,5.170000,5.148458,7978500
2019-08-22,5.150000,5.180000,5.050000,5.070000,5.048875,25989700
2019-08-23,5.050000,5.100000,5.000000,5.010000,4.989125,24543800
2019-08-26,5.020000,5.030000,4.980000,5.000000,4.979167,10257400
2019-08-27,5.010000,5.020000,4.910000,4.940000,4.919417,19466000
2019-08-28,4.870000,4.930000,4.860000,4.890000,4.869625,17065200
2019-08-29,4.900000,4.950000,4.900000,4.920000,4.899500,11566500
2019-08-30,4.970000,4.980000,4.940000,4.960000,4.939333,9925300
2019-09-03,4.890000,4.920000,4.840000,4.870000,4.849708,19577600
2019-09-04,4.910000,4.930000,4.900000,4.910000,4.889542,9914900
2019-09-05,4.980000,5.000000,4.950000,4.970000,4.949292,14572300
2019-09-06,5.010000,5.050000,4.980000,5.010000,4.989125,11933600
2019-09-09,5.030000,5.030000,4.990000,5.020000,4.999084,11863700
2019-09-10,5.030000,5.120000,5.000000,5.100000,5.078750,18800600
2019-09-11,5.070000,5.120000,5.050000,5.100000,5.078750,15379500
2019-09-12,5.140000,5.250000,5.130000,5.240000,5.218166,18786400
2019-09-13,5.230000,5.230000,5.160000,5.180000,5.158417,8965000
2019-09-16,5.100000,5.140000,5.080000,5.120000,5.098667,13017600
2019-09-17,5.060000,5.170000,5.050000,5.150000,5.128542,18041100
2019-09-18,5.130000,5.170000,5.120000,5.140000,5.118583,11701100
